Region,Site,Latitude,Longitude,Date,Method,ID,Sex,Age_class,Mass,Culmen,Tarsus,Wing_length
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715043,Male,Hatch Year,1035,35.89,42.09,225
South BC,Indian Arm,49.32399,-122.90476,2015-04-07,Capture,176715028,Male,Hatch Year,995,34.83,40.93,226
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715064,Male,Hatch Year,925,33.72,41.23,226
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715061,Male,Hatch Year,1005,34.41,42.24,227
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715044,Male,Hatch Year,961,34.52,41.94,228
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715040,Male,Hatch Year,1011,34.43,41.39,230
South BC,Indian Arm,49.32399,-122.90476,2015-04-07,Capture,176715025,Male,Hatch Year,1012,34.58,41.64,230
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715057,Male,After Hatch Year,1177,34.24,40.08,232
South BC,Indian Arm,49.43382,-122.87371,2011-04-07,Capture,154711972,Male,Hatch Year,1039,33.59,40.43,232
South BC,Indian Arm,49.37253,-122.88893,2015-04-10,Capture,176715071,Male,After Hatch Year,1156,36.56,42.28,232
South BC,Indian Arm,49.37253,-122.88893,2015-04-10,Capture,176715072,Male,After Hatch Year,1070,35.5,40.66,233
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715032,Male,After Hatch Year,978,34.56,39.29,234
South BC,Indian Arm,49.44361,-122.87911,2011-04-07,Capture,154711964,Male,Hatch Year,1119,36.29,40.74,234
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715053,Male,After Hatch Year,983,34.59,41.5,235
South BC,Indian Arm,49.38029,-122.88188,2015-04-09,Capture,176715058,Male,After Hatch Year,1114,34.58,41.45,236
South BC,Indian Arm,49.44361,-122.87911,2011-04-07,Capture,154711965,Male,After Hatch Year,1039,35.01,40.06,238
South BC,Indian Arm,49.37253,-122.88893,2015-04-10,Capture,176715069,Male,After Hatch Year,1160,36,41.23,238
South BC,Indian Arm,49.37253,-122.88893,2015-04-10,Capture,176715070,Male,After Hatch Year,1206,33.82,40.51,240
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715035,Male,After Hatch Year,1140,34.76,41.74,240
South BC,Indian Arm,49.38029,-122.88188,2015-04-08,Capture,176715036,Male,After Hatch Year,1154,37.04,41.75,240
South BC,Indian Arm,49.43382,-122.87371,2011-04-07,Capture,154711966,Male,After Hatch Year,986,35.01,39.46,241
South BC,Indian Arm,49.44361,-122.87911,2011-04-07,Capture,154711970,Male,After Hatch Year,1103,35.16,38.54,242
South BC,Indian Arm,49.43382,-122.87371,2011-04-07,Capture,154711967,Male,After Hatch Year,1061,35.42,38.91,242
